clave,nombre,programa_clave,trimestre,tipo,creditos,area_nombre,area_descripcion,url
1441017,TEMAS SELECTOS INTERDISCIPLINARES XI,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441018,TEMAS SELECTOS INTERDISCIPLINARES XII,DiPS,X-XII,OPT,,Optativas de Extensión Divisional,Optativas Interdisciplinares,
1441024,PRÁCTICA PROFESIONAL I,DiPS,X-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Práctica Profesional,
1441025,PRÁCTICA PROFESIONAL II,DiPS,X-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Práctica Profesional,
1441026,PRÁCTICA PROFESIONAL III,DiPS,X-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Práctica Profesional,
1441019,Movilidad  I,DiPS,VII-IX,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1441020,Movilidad  II,DiPS,VII-IX,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1441021,Movilidad  III,DiPS,VII-IX,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1441022,Movilidad  IV,DiPS,VII-IX,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1441023,Movilidad  V,DiPS,VII-IX,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
